Domain Code,Domain,Area Code,Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1962","1962","°C","-0.179","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1963","1963","°C","0.066","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1964","1964","°C","-0.122","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1965","1965","°C","-0.123","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1966","1966","°C","0.116","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1967","1967","°C","-0.23","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1968","1968","°C","-0.14","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1969","1969","°C","0.255","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1970","1970","°C","0.196","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1971","1971","°C","-0.18","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1972","1972","°C","-0.02","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1973","1973","°C","0.503","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1974","1974","°C","-0.139","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1975","1975","°C","-0.166","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1976","1976","°C","-0.162","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1977","1977","°C","0.184","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1978","1978","°C","0.055","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1979","1979","°C","0.395","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1980","1980","°C","0.291","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1981","1981","°C","0.256","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1982","1982","°C","0.307","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1983","1983","°C","0.6","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1984","1984","°C","0.421","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1985","1985","°C","0.197","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1986","1986","°C","0.307","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1987","1987","°C","0.668","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1988","1988","°C","0.56","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1989","1989","°C","0.224","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1990","1990","°C","0.396","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1991","1991","°C","0.351","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1992","1992","°C","0.058","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1993","1993","°C","0.195","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1994","1994","°C","0.249","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1995","1995","°C","0.493","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1996","1996","°C","0.248","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1997","1997","°C","0.514","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1998","1998","°C","1.073","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","1999","1999","°C","0.423","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","2000","2000","°C","0.36","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","2001","2001","°C","0.354","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","2002","2002","°C","0.717","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","2003","2003","°C","0.687","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","2004","2004","°C","0.579","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","2005","2005","°C","0.812","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","2006","2006","°C","0.743","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","2007","2007","°C","0.744","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","2008","2008","°C","0.447","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","2009","2009","°C","1.045","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","2010","2010","°C","1.118","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","2011","2011","°C","0.579","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","2012","2012","°C","0.45","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","2013","2013","°C","0.712","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","2014","2014","°C","0.735","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","2015","2015","°C","0.738","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","2016","2016","°C","0.891","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","2017","2017","°C","0.754","Fc","Calculated data"
"ET","Temperature change","5102","Middle Africa","7271","Temperature change","7020","Meteorological year","2018","2018","°C","0.894","Fc","Calculated data"
"ET","Temperature change","5103","Northern Africa","7271","Temperature change","7020","Meteorological year","1961","1961","°C","0.057","Fc","Calculated data"
"ET","Temperature change","5103","Northern Africa","7271","Temperature change","7020","Meteorological year","1962","1962","°C","0.201","Fc","Calculated data"
"ET","Temperature change","5103","Northern Africa","7271","Temperature change","7020","Meteorological year","1963","1963","°C","0.209","Fc","Calculated data"
"ET","Temperature change","5103","Northern Africa","7271","Temperature change","7020","Meteorological year","1964","1964","°C","-0.029","Fc","Calculated data"
"ET","Temperature change","5103","Northern Africa","7271","Temperature change","7020","Meteorological year","1965","1965","°C","-0.145","Fc","Calculated data"
"ET","Temperature change","5103","Northern Africa","7271","Temperature change","7020","Meteorological year","1966","1966","°C","0.231","Fc","Calculated data"
"ET","Temperature change","5103","Northern Africa","7271","Temperature change","7020","Meteorological year","1967","1967","°C","-0.367","Fc","Calculated data"
"ET","Temperature change","5103","Northern Africa","7271","Temperature change","7020","Meteorological year","1968","1968","°C","-0.142","Fc","Calculated data"
"ET","Temperature change","5103","Northern Africa","7271","Temperature change","7020","Meteorological year","1969","1969","°C","0.376","Fc","Calculated data"
"ET","Temperature change","5103","Northern Africa","7271","Temperature change","7020","Meteorological year","1970","1970","°C","0.133","Fc","Calculated data"
"ET","Temperature change","5103","Northern Africa","7271","Temperature change","7020","Meteorological year","1971","1971","°C","-0.305","Fc","Calculated data"
"ET","Temperature change","5103","Northern Africa","7271","Temperature change","7020","Meteorological year","1972","1972","°C","-0.08","Fc","Calculated data"
"ET","Temperature change","5103","Northern Africa","7271","Temperature change","7020","Meteorological year","1973","1973","°C","0.022","Fc","Calculated data"
"ET","Temperature change","5103","Northern Africa","7271","Temperature change","7020","Meteorological year","1974","1974","°C","-0.398","Fc","Calculated data"
"ET","Temperature change","5103","Northern Africa","7271","Temperature change","7020","Meteorological year","1975","1975","°C","-0.397","Fc","Calculated data"
"ET","Temperature change","5103","Northern Africa","7271","Temperature change","7020","Meteorological year","1976","1976","°C","-0.43","Fc","Calculated data"
"ET","Temperature change","5103","Northern Africa","7271","Temperature change","7020","Meteorological year","1977","1977","°C","0.161","Fc","Calculated data"
"ET","Temperature change","5103","Northern Africa","7271","Temperature change","7020","Meteorological year","1978","1978","°C","-0.095","Fc","Calculated data"
"ET","Temperature change","5103","Northern Africa","7271","Temperature change","7020","Meteorological year","1979","1979","°C","0.475","Fc","Calculated data"
"ET","Temperature change","5103","Northern Africa","7271","Temperature change","7020","Meteorological year","1980","1980","°C","0.117","Fc","Calculated data"
"ET","Temperature change","5103","Northern Africa","7271","Temperature change","7020","Meteorological year","1981","1981","°C","0.091","Fc","Calculated data"
"ET","Temperature change","5103","Northern Africa","7271","Temperature change","7020","Meteorological year","1982","1982","°C","0.214","Fc","Calculated data"
"ET","Temperature change","5103","Northern Africa","7271","Temperature change","7020","Meteorological year","1983","1983","°C","0.093","Fc","Calculated data"
"ET","Temperature change","5103","Northern Africa","7271","Temperature change","7020","Meteorological year","1984","1984","°C","0.081","Fc","Calculated data"
"ET","Temperature change","5103","Northern Africa","7271","Temperature change","7020","Meteorological year","1985","1985","°C","0.378","Fc","Calculated data"
"ET","Temperature change","5103","Northern Africa","7271","Temperature change","7020","Meteorological year","1986","1986","°C","0.292","Fc","Calculated data"
"ET","Temperature change","5103","Northern Africa","7271","Temperature change","7020","Meteorological year","1987","1987","°C","0.554","Fc","Calculated data"
"ET","Temperature change","5103","Northern Africa","7271","Temperature change","7020","Meteorological year","1988","1988","°C","0.797","Fc","Calculated data"
"ET","Temperature change","5103","Northern Africa","7271","Temperature change","7020","Meteorological year","1989","1989","°C","0.194","Fc","Calculated data"
